IDENTIFICACION	GENERO	OFICINA	SEGMENTO	INGRESO	PRODUCTO	SALDO
1	MUJER	SUR	CORPORATIVO	01/11/11	TARJETA DE CREDITO	35
5	MUJER	NORTE	CORPORATIVO	07/12/11	CUENTA CORRIENTE	8
6	MUJER	NORTE	CORPORATIVO	09/12/11	TARJETA DE CREDITO	40
16	HOMBRE	NORTE	CORPORATIVO	30/12/11	CERTIFICADO A PLAZO	11
17	HOMBRE	NORTE	CORPORATIVO	11/11/11	CUENTA AHORROS	64
22	HOMBRE	NORTE	CORPORATIVO	03/12/11	CUENTA AHORROS	58
24	MUJER	CENTRO	CORPORATIVO	14/11/11	CERTIFICADO A PLAZO	50
34	HOMBRE	SUR	CORPORATIVO	28/11/11	CUENTA AHORROS	85
35	HOMBRE	SUR	CORPORATIVO	28/11/11	CERTIFICADO A PLAZO	96
37	MUJER	CENTRO	CORPORATIVO	24/12/11	TARJETA DE CREDITO	94
38	MUJER	SUR	CORPORATIVO	26/11/11	CUENTA CORRIENTE	63
39	MUJER	NORTE	CORPORATIVO	12/12/11	TARJETA DE CREDITO	31
3	HOMBRE	SUR	EMPRESARIAL	15/12/11	TARJETA DE DEBITO	78
4	MUJER	CENTRO	EMPRESARIAL	04/11/11	CUENTA CORRIENTE	85
13	MUJER	SUR	EMPRESARIAL	12/11/11	TARJETA DE CREDITO	78
14	MUJER	NORTE	EMPRESARIAL	04/11/11	CERTIFICADO A PLAZO	74
15	HOMBRE	CENTRO	EMPRESARIAL	28/12/11	TARJETA DE DEBITO	31
18	HOMBRE	SUR	EMPRESARIAL	24/11/11	CERTIFICADO A PLAZO	41
19	MUJER	NORTE	EMPRESARIAL	14/12/11	TARJETA DE CREDITO	59
20	MUJER	NORTE	EMPRESARIAL	23/11/11	CERTIFICADO A PLAZO	42
25	HOMBRE	SUR	EMPRESARIAL	18/11/11	TARJETA DE DEBITO	14
28	MUJER	CENTRO	EMPRESARIAL	19/12/11	TARJETA DE DEBITO	92
45	HOMBRE	NORTE	EMPRESARIAL	08/12/11	CUENTA CORRIENTE	37
48	HOMBRE	CENTRO	EMPRESARIAL	13/12/11	TARJETA DE CREDITO	69
49	HOMBRE	CENTRO	EMPRESARIAL	01/12/11	CUENTA AHORROS	22
50	MUJER	CENTRO	EMPRESARIAL	24/11/11	TARJETA DE CREDITO	21
26	MUJER	NORTE	MICROEMPRESA	25/12/11	TARJETA DE CREDITO	92
27	HOMBRE	NORTE	MICROEMPRESA	14/11/11	TARJETA DE DEBITO	55
30	MUJER	SUR	MICROEMPRESA	13/11/11	CUENTA AHORROS	23
40	MUJER	CENTRO	MICROEMPRESA	09/12/11	CUENTA AHORROS	36
43	MUJER	CENTRO	MICROEMPRESA	08/12/11	TARJETA DE DEBITO	65
46	MUJER	NORTE	MICROEMPRESA	10/12/11	TARJETA DE DEBITO	92
2	MUJER	CENTRO	PERSONA NATURAL	18/12/11	CERTIFICADO A PLAZO	78
7	MUJER	NORTE	PERSONA NATURAL	08/12/11	TARJETA DE DEBITO	43
8	MUJER	NORTE	PERSONA NATURAL	27/11/11	CERTIFICADO A PLAZO	34
9	HOMBRE	NORTE	PERSONA NATURAL	18/12/11	CUENTA AHORROS	37
10	HOMBRE	SUR	PERSONA NATURAL	04/12/11	TARJETA DE CREDITO	63
11	HOMBRE	CENTRO	PERSONA NATURAL	13/12/11	CERTIFICADO A PLAZO	39
12	MUJER	NORTE	PERSONA NATURAL	14/12/11	TARJETA DE CREDITO	90
21	MUJER	CENTRO	PERSONA NATURAL	23/12/11	TARJETA DE DEBITO	51
23	HOMBRE	NORTE	PERSONA NATURAL	11/11/11	TARJETA DE DEBITO	10
29	MUJER	SUR	PERSONA NATURAL	20/12/11	CUENTA AHORROS	75
31	HOMBRE	SUR	PERSONA NATURAL	11/11/11	TARJETA DE DEBITO	46
32	HOMBRE	SUR	PERSONA NATURAL	21/12/11	TARJETA DE CREDITO	9
33	MUJER	SUR	PERSONA NATURAL	07/12/11	CUENTA CORRIENTE	0
36	MUJER	NORTE	PERSONA NATURAL	28/11/11	TARJETA DE CREDITO	24
41	MUJER	NORTE	PERSONA NATURAL	16/12/11	CUENTA CORRIENTE	99
42	HOMBRE	NORTE	PERSONA NATURAL	01/12/11	TARJETA DE CREDITO	5
44	MUJER	NORTE	PERSONA NATURAL	13/11/11	CUENTA AHORROS	58
47	MUJER	NORTE	PERSONA NATURAL	27/12/11	TARJETA DE DEBITO	11
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
