IDENTIFICACION	GENERO	OFICINA	SEGMENTO	INGRESO	PRODUCTO	SALDO
1	MUJER	SUR	CORPORATIVO	01/11/11	TARJETA DE CREDITO	4
4	MUJER	CENTRO	EMPRESARIAL	04/11/11	CUENTA CORRIENTE	22
14	MUJER	NORTE	EMPRESARIAL	04/11/11	CERTIFICADO A PLAZO	21
17	HOMBRE	NORTE	CORPORATIVO	11/11/11	CUENTA AHORROS	57
23	HOMBRE	NORTE	PERSONA NATURAL	11/11/11	TARJETA DE DEBITO	60
31	HOMBRE	SUR	PERSONA NATURAL	11/11/11	TARJETA DE DEBITO	82
13	MUJER	SUR	EMPRESARIAL	12/11/11	TARJETA DE CREDITO	8
30	MUJER	SUR	MICROEMPRESA	13/11/11	CUENTA AHORROS	81
44	MUJER	NORTE	PERSONA NATURAL	13/11/11	CUENTA AHORROS	4
24	MUJER	CENTRO	CORPORATIVO	14/11/11	CERTIFICADO A PLAZO	17
27	HOMBRE	NORTE	MICROEMPRESA	14/11/11	TARJETA DE DEBITO	1
25	HOMBRE	SUR	EMPRESARIAL	18/11/11	TARJETA DE DEBITO	91
20	MUJER	NORTE	EMPRESARIAL	23/11/11	CERTIFICADO A PLAZO	84
18	HOMBRE	SUR	EMPRESARIAL	24/11/11	CERTIFICADO A PLAZO	21
50	MUJER	CENTRO	EMPRESARIAL	24/11/11	TARJETA DE CREDITO	62
38	MUJER	SUR	CORPORATIVO	26/11/11	CUENTA CORRIENTE	30
8	MUJER	NORTE	PERSONA NATURAL	27/11/11	CERTIFICADO A PLAZO	52
34	HOMBRE	SUR	CORPORATIVO	28/11/11	CUENTA AHORROS	87
35	HOMBRE	SUR	CORPORATIVO	28/11/11	CERTIFICADO A PLAZO	93
36	MUJER	NORTE	PERSONA NATURAL	28/11/11	TARJETA DE CREDITO	97
42	HOMBRE	NORTE	PERSONA NATURAL	01/12/11	TARJETA DE CREDITO	68
49	HOMBRE	CENTRO	EMPRESARIAL	01/12/11	CUENTA AHORROS	10
22	HOMBRE	NORTE	CORPORATIVO	03/12/11	CUENTA AHORROS	88
10	HOMBRE	SUR	PERSONA NATURAL	04/12/11	TARJETA DE CREDITO	43
5	MUJER	NORTE	CORPORATIVO	07/12/11	CUENTA CORRIENTE	94
33	MUJER	SUR	PERSONA NATURAL	07/12/11	CUENTA CORRIENTE	49
7	MUJER	NORTE	PERSONA NATURAL	08/12/11	TARJETA DE DEBITO	9
43	MUJER	CENTRO	MICROEMPRESA	08/12/11	TARJETA DE DEBITO	84
45	HOMBRE	NORTE	EMPRESARIAL	08/12/11	CUENTA CORRIENTE	20
6	MUJER	NORTE	CORPORATIVO	09/12/11	TARJETA DE CREDITO	68
40	MUJER	CENTRO	MICROEMPRESA	09/12/11	CUENTA AHORROS	54
46	MUJER	NORTE	MICROEMPRESA	10/12/11	TARJETA DE DEBITO	84
39	MUJER	NORTE	CORPORATIVO	12/12/11	TARJETA DE CREDITO	21
11	HOMBRE	CENTRO	PERSONA NATURAL	13/12/11	CERTIFICADO A PLAZO	42
48	HOMBRE	CENTRO	EMPRESARIAL	13/12/11	TARJETA DE CREDITO	28
12	MUJER	NORTE	PERSONA NATURAL	14/12/11	TARJETA DE CREDITO	100
19	MUJER	NORTE	EMPRESARIAL	14/12/11	TARJETA DE CREDITO	66
3	HOMBRE	SUR	EMPRESARIAL	15/12/11	TARJETA DE DEBITO	84
41	MUJER	NORTE	PERSONA NATURAL	16/12/11	CUENTA CORRIENTE	81
2	MUJER	CENTRO	PERSONA NATURAL	18/12/11	CERTIFICADO A PLAZO	91
9	HOMBRE	NORTE	PERSONA NATURAL	18/12/11	CUENTA AHORROS	75
28	MUJER	CENTRO	EMPRESARIAL	19/12/11	TARJETA DE DEBITO	96
29	MUJER	SUR	PERSONA NATURAL	20/12/11	CUENTA AHORROS	91
32	HOMBRE	SUR	PERSONA NATURAL	21/12/11	TARJETA DE CREDITO	76
21	MUJER	CENTRO	PERSONA NATURAL	23/12/11	TARJETA DE DEBITO	26
37	MUJER	CENTRO	CORPORATIVO	24/12/11	TARJETA DE CREDITO	76
26	MUJER	NORTE	MICROEMPRESA	25/12/11	TARJETA DE CREDITO	54
47	MUJER	NORTE	PERSONA NATURAL	27/12/11	TARJETA DE DEBITO	39
15	HOMBRE	CENTRO	EMPRESARIAL	28/12/11	TARJETA DE DEBITO	10
16	HOMBRE	NORTE	CORPORATIVO	30/12/11	CERTIFICADO A PLAZO	53
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
